﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6kpBcTVx7kzWMvZ6z0ZCUY","180 Degrees","NOFX","So Long & Thanks For All The Shoes","1","5","130373","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:36Z"
"spotify:track:4uB28m7RAflobYpnLMb6A2","Linoleum","NOFX","Punk In Drublic","1","1","130266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:46Z"
"spotify:track:41kg2RvdwBuIv0OPpvBS4v","Time Bomb","Rancid","...And Out Come The Wolves","1","4","144333","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:48Z"
"spotify:track:4X3qGigyU6ARi3HP4lWD95","Superman","Goldfinger","Hang-Ups","1","1","185026","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:49Z"
"spotify:track:1hh4GY1zM7SUAyM3a2ziH5","All My Best Friends Are Metalheads","Less Than Jake","Hello Rockview","1","3","211400","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:51Z"
"spotify:track:1ru5R5iSawvuMELqKXxLjS","The Impression That I Get","The Mighty Mighty Bosstones","Let's Face It","1","4","194760","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:52Z"
"spotify:track:6SJ1hWFVBIiUgGgHKvwXCQ","Sell Out","Reel Big Fish","Turn The Radio Off","1","1","227493","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:54Z"
"spotify:track:3Id64dLhfH7z0mmcylxuNp","Fuck Authority","Pennywise","Land Of The Free?","1","4","196120","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:55Z"
"spotify:track:1EumTYKFbtiK1p65CqKKOw","Keasbey Nights","Catch 22","Keasbey Nights","1","3","182880","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:56Z"
"spotify:track:4Pmo0mMgiyBCj1Zd7Axsi1","Sound System","Operation Ivy","Operation Ivy (2007 Remaster)","1","2","134026","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:32:58Z"
"spotify:track:3KLkRy9l3us98SIp6mmxkk","No Cigar","Millencolin","Pennybridge Pioneers","1","1","163226","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:01Z"
"spotify:track:0wZuFLzQhVAJU9JSmdixTE","Super Rad!","The Aquabats!","The Fury of the Aquabats!","1","1","182800","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:03Z"
"spotify:track:0eVZhPIexAYqdwKNqSp3Qm","All Outta Angst","NOFX","So Long & Thanks For All The Shoes","1","7","112493","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:04Z"
"spotify:track:4Z4xFENnvMnRDPpAx5wpaO","Come on Eileen","Save Ferris","It Means Everything","1","4","249133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:06Z"
"spotify:track:0plo6KjgjTcRhj7Fn8oemk","We Will Fall Together","Streetlight Manifesto","Somewhere in the Between","1","1","289293","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:08Z"
"spotify:track:1iD0a0plhO55cWEJa5UGcZ","The Science of Selling Yourself Short","Less Than Jake","Anthem","1","4","186266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:09Z"
"spotify:track:71dRBSmaKMdaFZPeZlVzf5","You","Bad Religion","No Control (2005 Remaster)","1","10","125200","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:11Z"
"spotify:track:7IfckgnBsIdP4XE4tfWEDN","Take On Me","Reel Big Fish","The Best Of Us For The Rest Of Us","1","2","199253","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:12Z"
"spotify:track:1ybhXkz4S8k9fdBZNBan7L","Bro Hymn","Pennywise","Pennywise (2005 Remaster)","1","14","180893","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:14Z"
"spotify:track:3pdHJCTk85ls2SGGXIJ7XH","Fall Back Down","Rancid","Indestructible","1","2","223227","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:16Z"
"spotify:track:2Bf8CoBhV8kDpQju55Tuha","My Town","Buck-O-Nine","Twenty-Eight Teeth","1","13","214266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:17Z"
"spotify:track:5GG2T4nFuS1L5xb9U3iJ8G","Out All Night","The Pietasters","Willis","1","2","196733","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:19Z"
"spotify:track:3kHgSbSSd3ZvOowtlFXNEw","2-Tone Army","The Toasters","Hard Band For Dead","1","1","199560","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:21Z"
"spotify:track:12GEszobr92vUXs4LCdwjK","Mr. Smiley","Mustard Plug","Big Daddy Multitude (2010 Re-Issue)","1","4","166040","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:22Z"
"spotify:track:2MIffMNLanOcWNLVwbeUYE","Violins","Lagwagon","Hoss","1","2","187586","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:24Z"
"spotify:track:0TZ1MAPCWb2jpaKzS5Muyz","Everything Went Numb","Streetlight Manifesto","Everything Goes Numb","1","1","209973","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:26Z"
"spotify:track:7v9tpAyVYvIueLtl82bMIz","Road Rash","Mad Caddies","Duck and Cover","1","1","121666","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:33:27Z"
