﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5xC8uOesnn0udeXAYlAnoY","Alright","Supergrass","I Should Coco","1","4","180880","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:23:53Z"
"spotify:track:0iAcyO7WLhnC7WOTOpjGv1","Caught By the Fuzz","Supergrass","I Should Coco","1","2","136773","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:06Z"
"spotify:track:2aC8wwfrM0YeTAzzk8hxqC","Disco 2000","Pulp","Different Class","1","5","273573","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:08Z"
"spotify:track:7FSzJQV6thyoQptFCUTV9c","Parklife - 2012 Remaster","Blur","Parklife [Special Edition]","1","4","185093","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:10Z"
"spotify:track:15RgdXlKJQTNMsR4hAzIGh","Wake up Boo!","The Boo Radleys","Wake Up!","1","1","217866","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:11Z"
"spotify:track:53LZqMzQEnjBkFXPqOq0cD","Connection","Elastica","Elastica","1","3","140480","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:12Z"
"spotify:track:4GoqaAdOZqS1lyYODRwxlO","Inbetweener","Sleeper","Smart","1","1","199493","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:16Z"
"spotify:track:0uJyE3M3ecGZgzltsQKs3a","A Design for Life - Remastered","Manic Street Preachers","Everything Must Go 10th Anniversary Edition","1","2","257640","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:17Z"
"spotify:track:17hdos7cv1vAvcfoTU4Pym","The Only One I Know","The Charlatans","Some Friendly","1","3","238120","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:19Z"
"spotify:track:3uvTySdxejOSPEACJsajdW","Good Enough","Dodgy","Free Peace Sweet","1","6","241306","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:24:21Z"
