﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0jijTmxYz5e62eB7UW8oVN","Caballeria Rusticana : Dite, Mamma Lucia","Metropolitan Opera Orchestra, Zinka Milanov, Dimitri Mitropoulos","Pietro Mascagni : Cavalleria Rusticana","1","4","247680","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:42:47Z"
"spotify:track:74WjYdm3Lvbwnds4thYPUU","Turandot / Act 3: "Nessun dorma!"","Giacomo Puccini, Luciano Pavarotti, John Alldis Choir, Wandsworth School Boys Choir, London Philharmonic Orchestra, Zubin Mehta","Puccini: Turandot - Highlights","1","11","180933","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:42:58Z"
"spotify:track:41ujv4mhxlqR8nlnieDpDp","La Traviata / Act 1: Libiamo ne'lieti calici","Giuseppe Verdi, Ileana Cotrubas, Plácido Domingo, Chor der Bayerischen Staatsoper München, Bavarian State Orchestra, Carlos Kleiber","Verdi: La Traviata","1","3","175506","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:00Z"
"spotify:track:11Er3qlX9yXQjhvHkmvcBD","The Flower Duet (From "Lakmé")","Katherine Jenkins, Kiri Te Kanawa, Philharmonia Orchestra, Anthony Inglis","Katherine Jenkins / From The Heart","1","4","230933","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:02Z"
"spotify:track:6xZGds6ClLaEPeyep1C8si","Rinaldo, HWV 7a / Act 2: "Lascia ch'io pianga"","George Frideric Handel, Cecilia Bartoli, Academy of Ancient Music, Christopher Hogwood","Handel: Rinaldo (Original 1711 Version)","2","12","285333","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:04Z"
"spotify:track:4GtwsI12udoBup7wWj7uEa","Carmen / Act 2: Toreador Song: "Votre toast, je peux vous le rendre" (from Carmen / Act 2)","Georges Bizet, Bryn Terfel, London Symphony Orchestra, Barry Wordsworth","Bryn Terfel sings Favourites","1","1","229013","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:05Z"
"spotify:track:1pqGcNI8H5i3yySTNCrD7d","Norma (1997 Digital Remaster): Casta Diva","Maria Callas, Tullio Serafin, Orchestra Del Teatro Alla Scala, Milano","Maria Callas","1","1","339666","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:07Z"
"spotify:track:6D0BMUe2yZ0xHrKGjikP69","Caballeria Rusticana : Intermezzo","Metropolitan Opera Orchestra, Dimitri Mitropoulos","Pietro Mascagni : Cavalleria Rusticana","1","12","229813","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:09Z"
"spotify:track:3p02ss31ywBaZcqh7Vq9sx","Time To Say Goodbye (Con Te Partirò)","Sarah Brightman, Andrea Bocelli","Diva: The Singles Collection","1","14","246480","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:11Z"
"spotify:track:2nI7rOSYklk4SZ3ccPvG2j","Lakmé / Act 1: Viens, Mallika, ... Dôme épais (Flower Duet)","Léo Delibes, Anna Netrebko, Elina Garanca, SWR Symphony Orchestra, Marco Armiliato",""The Opera Gala - Live from Baden-Baden"","1","1","403333","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:13Z"
"spotify:track:3apjDg8RP6wLBSSuEcgreX","Die Zauberflöte, K.620 / Act 2: "Der Hölle Rache kocht in meinem Herzen"","Wolfgang Amadeus Mozart, Erika Miklósa, Mahler Chamber Orchestra, Claudio Abbado","Mozart: Die Zauberflöte","2","4","174120","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:15Z"
"spotify:track:4JsMpgsep6XpuHSzKCTxCz","Ave Maria, D. 839","Franz Schubert, Renée Fleming, Royal Philharmonic Orchestra, Andreas Delfs","Sacred Songs","1","4","256573","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:16Z"
"spotify:track:0xB9WVNMzwq4iTecJUNkP8","La Bohème / Act 1: "Che gelida manina"","Giacomo Puccini, Luciano Pavarotti, Berliner Philharmoniker, Herbert von Karajan","Puccini: La Bohème","1","8","278293","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:18Z"
"spotify:track:4UPPQcwiQJpmXYirbgicT9","Nabucco / Act 3: Va, pensiero, sull'ali dorate","Giuseppe Verdi, Orchester der Deutschen Oper Berlin, Giuseppe Sinopoli, Chor der Deutschen Oper Berlin","Verdi: Nabucco","2","13","234226","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:20Z"
"spotify:track:3f6dcT576VZUsG7q00whSF","L'elisir d'amore / Act 2: "Una furtiva lagrima"","Gaetano Donizetti, Juan Diego Flórez, Riccardo Frizza, Orchestra Sinfonica di Milano Giuseppe Verdi","Juan Diego Flórez - Una Furtiva Lagrima: Donizetti & Bellini Arias","1","2","282000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:21Z"
"spotify:track:7iLbOVf7ZT22rMOBpdE7db","Il barbiere di Siviglia (The Barber of Seville): Act I No. 2: Cavatina: Largo al factotum della citta","Gioachino Rossini, Roberto Servile, Sonia Ganassi, Ramón Vargas, Angelo Romero, Franco de Grandis, Ingrid Kertesi, Kazmer Sarkany, Laszlo Orban, Ferenc Korpas, Hungarian Radio Chorus, Budapest Failoni Chamber Orchestra, Will Humburg","Rossini: Barbiere Di Siviglia (Il)","1","6","271973","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:23Z"
"spotify:track:3huXcNyLijuXnufYb4CzzD","Carmen, WD 31 / Act 2: Votre toast, je peux vous le rendre - Toréador, en garde","Georges Bizet, Teddy Tahu Rhodes, Alison Morgan, Jenny Duck-Chong, Sally-Anne Russell, Sinfonia Australis, Cantillation, Antony Walker","TV Commercial Classics","1","21","308293","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:24Z"
"spotify:track:2rnCae7ZO9bIfQFscasS3q","Andrea Chenier (1997 Digital Remaster): La mamma morta","Maria Callas, Tullio Serafin, Philharmonia Orchestra","Lyric and Coloratura Arias","1","3","292600","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:26Z"
"spotify:track:6fvxAuJ1ZI6jrNI5SdKk2v","The Magic Flute, K. 620: Act II, No.14. Aria: "Der Hölle Rache kocht in meinem Herzen"","Rundfunkorchester des Südwestfunks Baden-Baden","Wolfgang Amedeus Mozart: Arias and Opera Scenes","1","12","174000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:27Z"
"spotify:track:7zrpoAJte9o12TzawqgdD0","Con Te Partirò","Andrea Bocelli","Bocelli (Remastered)","1","1","250983","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:29Z"
"spotify:track:6zKeSx87zrWhYP3LMpuCII","Tannhäuser, WWV 70 - Paris version / Act 3: "Beglückt darf nun dich, o Heimat" (Pilgrims Chorus)","Richard Wagner, Helga Dernesch, Victor Braun, Vienna State Opera Chorus, Wiener Philharmoniker, Sir Georg Solti","Wagner: Tannhäuser","3","3","296440","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:29Z"
"spotify:track:1TCgc9iskd6hElNgimDN06","Die Zauberflöte, K.620 / Act 2: "Pa-Pa-Pa-Pa-Pa-Pa-Papagena!"","Wolfgang Amadeus Mozart, Cecilia Bartoli, Bryn Terfel, Orchestra dell'Accademia Nazionale di Santa Cecilia, Myung-Whun Chung","Mozart Collection","16","18","145533","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:31Z"
"spotify:track:5vKLwzGYTZArmaDIZzIY6C","Roméo et Juliette, CG 9 / Act 1: "Ah, je veux vivre"","Charles Gounod, Renée Fleming, London Philharmonic Orchestra, Sir Charles Mackerras","Renée Fleming","1","11","223613","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:32Z"
"spotify:track:7DnVaNbvKcwgqd9rmau4DZ","Regresa a Mi","Il Divo","Il Divo","1","1","280586","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:34Z"
"spotify:track:1BsjTRaRpecBv1KTVWc7FE","Vivaldi: Giustino, RV 717, Act 1 Scene 7: No. 9, Aria, "Vedrò con mio diletto" (Anastasio)","Antonio Vivaldi, Philippe Jaroussky, Jean-Christophe Spinosi","Vivaldi: Heroes","1","2","312466","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:35Z"
"spotify:track:7Lex6ipocC3OOPjHojuFgD","Donizetti: L'elisir d'amore, Act 2: "Una furtiva lagrima" (Nemorino)","Gaetano Donizetti, Marcello Viotti, English Chamber Orchestra, Roberto Alagna","40 Most Beautiful Arias","1","3","257999","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:37Z"
"spotify:track:2b9hxUjHlJj83VCnhBQBEV","Il barbiere di Siviglia / Act 1: No.2 Cavatina: "Largo al factotum"","Gioachino Rossini, Manuel Ausensi, Orchestra del Teatro San Carlo di Napoli, Silvio Varviso","Rossini: Il Barbiere di Siviglia","1","5","279760","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:38Z"
"spotify:track:34kbSUE9nBOYUPHefQIkgf","Purcell: Dido & Aeneas, Act 3: "When I am laid in earth" (Dido)","Henry Purcell, William Christie, Les Arts Florissants","Purcell : Dido & Aeneas","1","25","234399","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:40Z"
"spotify:track:18bDQPwSz4D72o0FXeSY7l","Les Contes d'Hoffmann / Act 2: "Belle nuit, ô nuit d'amour"","Jacques Offenbach, Dame Joan Sutherland, Huguette Tourangeau, Chorus Pro Arte Lausanne Du Brassus, Radio Suisse Romande Chorus, L'Orchestre de la Suisse Romande, Richard Bonynge","Offenbach: Les Contes d'Hoffmann - Highlights","1","10","251133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:41Z"
"spotify:track:0ikc7UMqaI4oJFCGasZcYE","Tosca / Act 3: "E lucevan le stelle"","Jonas Kaufmann, Prague Philharmonic Orchestra, Marco Armiliato","Romantic Arias","1","4","201080","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:43Z"
"spotify:track:1cAvZW3CzpHVMm1OqvSmOl","Gianni Schicchi: O mio babbino caro","Anna Netrebko, Mahler Chamber Orchestra, Claudio Abbado","Romanza (Deluxe Edition)","2","1","169746","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:46Z"
"spotify:track:5YXn5ojWUEKmDpSzhv6vAS","Serse (Xerxes), HWV 40: Ombra mai fu (Largo)","George Frideric Handel, Yoshikazu Mera, Japan Philharmonic Orchestra, Shiego Genda","Mendelssohn / Handel / Bach, J.S. / Strauss, R.: Songs for Counter-Tenor and Orchestra","1","3","184320","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:48Z"
"spotify:track:2aQirEioa4DZ53RoFMDgO0","Idaspe: Ombra fedela anch'io (Air de Dario)","Ewa Mallas-godlewska, Les Talens Lyriques, Derek Lee Ragin, Christophe Rousset","Farinelli: La musique du film (Original Motion Picture Soundtrack)","1","4","576213","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:50Z"
"spotify:track:3f8bzwjE0kcO1vWfAiKc7o","Gounod: Faust, Act 2: "Le veau d'or est toujours debout" (Méphistophélès, Chorus)","Charles Gounod, André Cluytens, Boris Christoff, Orchestre du Théâtre National de l'Opéra de Paris","Gounod: Faust","1","10","123693","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:52Z"
"spotify:track:3c3qj6ZG5wyzFb1135gH5H","La Traviata: Teneste la promessa...Addio del passato","Royal Philharmonic Orchestra, Aldo Ceccato, Beverly Sills","100 Best Opera Classics","1","12","343773","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:43:55Z"
