﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:13ISIZszl38y5eW6ufo977","Deepen","MeloMance","Yellow OST part.2","1","1","277990","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:14Z"
"spotify:track:6pDvQuoG0AhHTdy7yWyvMG","Gift","MeloMance","Moonlight","1","1","260607","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:27Z"
"spotify:track:1K3egcETTo3nLQkxmsoRUM","When I Saw You","Bumkey","A Korean Odyssey (Original Television Soundtrack), Pt. 2","1","1","176008","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:29Z"
"spotify:track:1g7Qy8aXNw0buhfOpCfduX","Let Me Out","NU'EST W","A Korean Odyssey (Original Television Soundtrack), Pt. 1","1","1","197822","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:30Z"
"spotify:track:7iKxJ7rKRCwngFcSY47ONw","If You Were Me (feat. Yoo Hwe Seung)","유나, 지민, Yoo Hwe Seung","A Korean Odyssey (Original Television Soundtrack), Pt. 5","1","1","197624","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:32Z"
"spotify:track:1GoTGv9CzVZj35o2b7FrcS","I'll Be Fine","SURAN","A Korean Odyssey (Original Television Soundtrack), Pt. 4","1","1","252406","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:33Z"
"spotify:track:36lIhJSCgrtR2SEexrBUu9","If We Were Destined","Ben","A Korean Odyssey (Original Television Soundtrack), Pt. 6","1","1","251805","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:34Z"
"spotify:track:3P3UA61WRQqwCXaoFOTENd","Through the Night","IU","Palette","1","8","253293","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:36Z"
"spotify:track:4QfpsCH9y8E2l2WAjLpeyH","Like A Miracle (Someday)","Hwang Chi Yeul","A Korean Odyssey (Original Television Soundtrack), Pt. 7","1","1","236147","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:37Z"
"spotify:track:6mzF8HvHdVrzJNd8M1uFCS","Beautiful","Crush","Guardian (Original Television Soundtrack) Part 4","1","1","227583","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:38Z"
"spotify:track:3FWBKyrmrZbtVWsBftBlME","Always You","leeSA","A Korean Odyssey (Original Television Soundtrack), Pt. 8","1","1","175267","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:39Z"
"spotify:track:2mC8CqvHH57UHQwo6fdE5I","Star Drawing","유지","Because This is My First Life (Original Television Soundtrack) Pt. 1","1","1","184372","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:41Z"
"spotify:track:7gWKxBSrDUfs4dWaneLVKm","I Will Be By Your Side","MeloMance","A Korean Odyssey (Original Television Soundtrack), Pt. 3","1","1","244764","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:42Z"
"spotify:track:1Y1Bkhy9m5dIIHwVEp5uvp","Marriage","문문","Because This is My First Life (Original Television Sound Track) Pt. 4","1","1","204000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:44Z"
"spotify:track:3gCVL4UXL4EstAFam9CN16","Everyday","HAEBIN","Because This Is My First Life (Original Tv Soundtrack) Part 2","1","1","227089","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:45Z"
"spotify:track:2BPXILn0MqOe5WroVXlvN1","I will go to you like the first snow","Ailee","Guardian (Original Television Soundtrack) Part 9","1","1","229678","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:46Z"
"spotify:track:7mFigNlS2dsKMhcmJyfpeg","Only Then","Roy Kim","Only Then","1","1","248835","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:48Z"
"spotify:track:5i6gHFXg4aLK5xvc2jJJC5","If It Is You","Jung Seung Hwan","Another Miss Oh (Original Television Soundtrack), Pt 5","1","1","272847","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:49Z"
"spotify:track:3CZAQMNUHPXmYVq8eF8Dt8","Shelter","HEE JIN, John OFA Rhee","Because This is My First Life (Original Television Sound Track) Pt. 6","1","1","227236","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:50Z"
"spotify:track:7neOIVKDsLaUXV5y84jGuY","I Don't Love You","Urban Zakapa","Still","1","1","254924","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:52Z"
"spotify:track:1HYzRuWjmS9LXCkdVHi25K","Stay With Me","CHANYEOL, Punch","Guardian (Original Television Soundtrack) Part 1","1","1","192441","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:54Z"
"spotify:track:3XEjswcSomkIsgbuNunFmQ","all of my life","PARK WON","0M","1","2","249279","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:55Z"
"spotify:track:3Ml2s37uS9jqRM2R3bfDiB","모든 날, 모든 순간 Every day, Every Moment","Paul Kim","키스 먼저 할까요? Should We Kiss First? (Original Television Soundtrack), Pt. 3","1","1","210493","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:56Z"
"spotify:track:3zOODMmNS2CdauhKVttUbp","Believe","Mackelli","A Korean Odyssey (Original Television Soundtrack), Pt. 9","1","1","218263","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:58Z"
"spotify:track:02BItKvyYGFIDDX3XBdmFR","This Life","Moon Sung Nam","Because This Is My First Life (Original Tv Soundtrack) Part 5","1","1","222244","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:46:59Z"
"spotify:track:3CDkMKimbgVl0zdKQByWCP","Tomorrow","Ryu Ji Hyun","Because This is My First Life (Original Television Sound Track) Pt. 7","1","1","235653","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:47:00Z"
