﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:20Zj7TB00BDSp7KLUJaEvU","Descara","Yomo","My Destiny","1","3","288288","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:11Z"
"spotify:track:3QwBODjSEzelZyVjxPOHdq","Otra vez (feat. J Balvin)","Zion & Lennox, J Balvin","Motivan2","1","7","209453","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:25Z"
"spotify:track:6ifUES3keWjwXgae8pXI3o","Me Rehúso","Danny Ocean","54+1","1","3","205714","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:27Z"
"spotify:track:5Fim1gaXBgsiFfsQAfQSDS","Hasta el Amanecer","Nicky Jam","Fénix","1","22","198706","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:28Z"
"spotify:track:1RouRzlg8OKFeqc6LvdxmB","Felices los 4","Maluma","F.A.M.E.","1","14","230000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:30Z"
"spotify:track:1KSqYYJFyfTecXFk9M0prc","Escápate Conmigo (feat. Ozuna)","Wisin, Ozuna","Victory","1","13","232786","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:31Z"
"spotify:track:3AEZUABDXNtecAOSC1qTfo","Reggaetón Lento (Bailemos)","CNCO","Primera Cita","1","3","222560","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:33Z"
"spotify:track:5ZFpEsxK5VlLkJi3v7ar2Y","Fanática Sensual","Plan B","Love And Sex","1","4","240320","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:34Z"
"spotify:track:4Ft0391aLVNtCPPseh98lp","Traicionera","Sebastian Yatra","MANTRA","1","9","229386","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:36Z"
"spotify:track:6habFhsOp2NvshLv26DqMb","Despacito","Luis Fonsi, Daddy Yankee","VIDA","1","9","229360","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:37Z"
"spotify:track:7LABrQFfRYcZUqUwng0Heb","Encantadora","Yandel","Dangerous","1","7","240093","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:40Z"
"spotify:track:40LW0IOX1DDxqvnTLpAKrq","Passion Whine","Farruko, Sean Paul","Farruko Presents Los Menores","1","14","213311","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:41Z"
"spotify:track:6Ges5C2IE738iJh4HyQizQ","Ay Vamos","J Balvin","La Familia B Sides","1","1","226413","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:42Z"
"spotify:track:0VKkyBKCXyR99navhVRqcP","La Player (Bandolera)","Zion & Lennox","La Player (Bandolera)","1","1","249608","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:44Z"
"spotify:track:1PtL0YQRtq3qxDGUSwZPJ5","Travesuras","Nicky Jam","Nicky Jam Hits","1","1","195453","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:45Z"
"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Borro Cassette","Maluma","Pretty Boy, Dirty Boy","1","1","207306","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:47Z"
"spotify:track:1m69ELEgE6k5ZWsap40ozt","Se Preparó","Ozuna","Odisea","1","3","188080","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:48Z"
"spotify:track:7MHN1aCFtLXjownGhvEQlF","Una Lady Como Tú","Manuel Turizo","Una Lady Como Tú","1","1","213026","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:50Z"
"spotify:track:0OMRAvrtLWE2TvcXorRiB9","La Gozadera","Gente De Zona, Marc Anthony","Visualízate","1","1","203160","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:52Z"
"spotify:track:6YZdkObH88npeKrrkb8Ggf","DUELE EL CORAZON","Enrique Iglesias, Wisin","DUELE EL CORAZON","1","1","200813","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:28:54Z"
