﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1Df9poaGCJzMJyZTvqu3m9","Exodus!","John Powell","How to Train Your Dragon: The Hidden World (Original Motion Picture Soundtrack)","1","7","278320","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:11Z"
"spotify:track:51v7yO07BdGgP6hv0OaDe2","Romantic Flight","John Powell","How To Train Your Dragon (Music From The Motion Picture)","1","15","116480","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:26Z"
"spotify:track:6ZFbXIJkuI1dVNWvzJzown","Time","Hans Zimmer","Inception (Music From The Motion Picture)","1","12","275546","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:27Z"
"spotify:track:2K84aDKZEkwFeYMntduc9e","Valsa Carioca","Sérgio Mendes","Rio: Music From The Motion Picture","1","13","155706","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:29Z"
"spotify:track:7jSQaXLzpLHjSQTev2krvT","Nemo Egg (Main Title)","Thomas Newman","Finding Nemo (Original Motion Picture Soundtrack)","1","3","76133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:31Z"
"spotify:track:08QaHlMPWuO5PUxjl61bXn","He's a Pirate","Klaus Badelt","Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack)","1","15","90426","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:33Z"
"spotify:track:1UBd7aWHZCz8yirI9KCvAU","Becoming one of "The People" Becoming one with Neytiri","James Horner","AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner","1","5","463706","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:35Z"
"spotify:track:1ijrMIqQvZNsnoqGukPzFD","I'm Forrest... Forrest Gump","Alan Silvestri","Forrest Gump - Original Motion Picture Score","1","1","159666","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:37Z"
"spotify:track:644es5aYPJghtZLjM1rmSP","Concerning Hobbits","Howard Shore","The Lord Of The Rings: The Fellowship Of The Ring (Original Motion Picture Soundtrack)","1","2","175040","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:39Z"
"spotify:track:1n8NKQRg8LVHy7oUhUgbFF","Hedwig's Theme","John Williams","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","1","19","309093","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:40Z"
"spotify:track:42AcnfPuSV3i6iWA0OfwTw","Telling The World","Taio Cruz","Rokstarr (Special Edition)","1","20","212853","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:44Z"
"spotify:track:2q6fxAvSpqXR4jx9Ne7RGz","Main Title - From The "Game Of Thrones" Soundtrack","Ramin Djawadi","Game Of Thrones (Music From The HBO Series)","1","1","106280","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:47Z"
"spotify:track:4eyOdAZS4vxs12QcJSa68v","Flying With Mother","John Powell","How To Train Your Dragon 2","1","10","167946","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:48Z"
"spotify:track:6EKywtYHtZLAvxyEcqrbE7","This Land - From "The Lion King"/Score","Hans Zimmer, Lebo M.","The Lion King","1","6","175400","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:15:50Z"
