﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1UMQ9VXdKGiAHIGD5fWX2B","Iron & Steel","Quinn XCII","Iron & Steel","1","1","203653","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:51:52Z"
"spotify:track:7cWyFwAaxdK2HSRuiRkMjy","Always Been You","Quinn XCII","The Story of Us","1","11","235720","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:02Z"
"spotify:track:48LwbDH7u5UMrsY3sjfjhe","Overwhelming","Jon Bellion","The Human Condition","1","8","172751","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:04Z"
"spotify:track:08Kj0lvbsqAxzeUOBYZRL6","Good Nights (feat. Mascolo)","Whethan, Mascolo","Life of a Wallflower Vol. 1","1","4","165618","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:05Z"
"spotify:track:6iRTYLWbxXtUz00KQIWiTN","By Myself","Christian French, Triegy","By Myself","1","1","184624","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:07Z"
"spotify:track:0OgGn1ofaj55l2PcihQQGV","Drew Barrymore","Bryce Vine","Drew Barrymore","1","1","190471","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:08Z"
"spotify:track:3GweDldi2HrraUKLexWUeb","Cassette","ayokay","Cassette","1","1","203066","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:09Z"
"spotify:track:7cflqPPi3zWfLFRRBTWeh6","talk is overrated","Jeremy Zucker, blackbear","idle","1","1","189800","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:11Z"
"spotify:track:2Yer0p7uB2lVBUAtANuuQp","Magic In The Hamptons (feat. Lil Yachty)","Social House, Lil Yachty","Magic In The Hamptons (feat. Lil Yachty)","1","1","164640","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:12Z"
"spotify:track:7ahYQRrOQSXJ5OhsLnpfU8","You're Not Missing Me","Chelsea Cutler","You're Not Missing Me","1","1","213626","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:52:13Z"
