﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2e2ODYnQs9b5WHzAfx7fmz","Miss Me (feat. ABRA)","Toro y Moi, ABRA","Outer Peace","1","4","180906","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:05Z"
"spotify:track:4SExof7SNMmYgTmgE8TBrE","Fruit","ABRA","Rose","1","4","341000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:17Z"
"spotify:track:40YmyUvb5AmaAWXpXTj7VD","New House","Toro y Moi","Outer Peace","1","5","150746","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:19Z"
"spotify:track:4cQrSREMqBSvJ8ZzBZjVb8","Mile High (feat. Travis Scott & Metro Boomin)","James Blake, Travis Scott, Metro Boomin","Assume Form","1","2","193600","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:20Z"
"spotify:track:3PFaFVWq5wucLu6s4baj9D","Girl","The Internet, KAYTRANADA","Ego Death","1","7","415613","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:21Z"
"spotify:track:1p2TWJxUlHE5JR0sE6E1d7","Best to You","Blood Orange","Freetown Sound","1","4","225747","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:22Z"
"spotify:track:0cjvRZVV217eDcZXXTHxBl","Rewind","Kelela","Hallucinogen","1","3","238145","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:24Z"
"spotify:track:6GCIYIWUBSLontW6divqsw","Stay Flo","Solange","When I Get Home","1","6","175706","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:25Z"
"spotify:track:25zjtAivp2cKIwteEKOnxx","Self Importance","Kilo Kish","Reflections in Real Time","1","6","181800","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:26Z"
"spotify:track:1rfGO3N4DPGodJLSSY9Re5","Sticky","Ravyn Lenae","Sticky","1","1","196754","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:27Z"
"spotify:track:4FZOSDwALdWxcGcRbwXWJ8","Tyrant (feat. Jorja Smith)","Kali Uchis, Jorja Smith","Isolation","1","6","204289","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:29Z"
"spotify:track:4gRAniZdYF2zVrDUsNC9tU","raingurl","Yaeji","raingurl","1","1","237231","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:30Z"
"spotify:track:7pI31mg1XsAPJCB6gQJSxK","PULL UP","ABRA","PRINCESS","1","5","178906","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:31Z"
"spotify:track:6b7z3keZ5gDJ2zBnyrke9P","Rose Quartz","Toro y Moi","Anything In Return","1","4","253108","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:32Z"
"spotify:track:5dcZUsgcMW57ju0A379O7c","Them Changes","Thundercat","Drunk","1","15","188385","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T08:02:34Z"
