﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3Ev6bGwL4Sf1Dy3ZwIWh3O","No World for Tomorrow","Coheed and Cambria","No World For Tomorrow","1","2","305666","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:13Z"
"spotify:track:42GP0xKtkolBnmqQRvSllO","Welcome Home","Coheed and Cambria","Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness","1","3","374973","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:28Z"
"spotify:track:6PsISpFaCEKwysPfwO9SfC","Cute Without The 'E' (Cut From The Team)","Taking Back Sunday","Tell All Your Friends","1","3","211546","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:30Z"
"spotify:track:5jZ1Z2GFTf2gwmFc3qiUxs","The Taste of Ink","The Used","The Used (U.S. Version)","1","2","208693","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:31Z"
"spotify:track:6QfnvcOKsdN4Q6exUWVuzn","Ohio Is for Lovers","Hawthorne Heights","The Silence In Black and White - Re-Issue","1","8","244480","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:32Z"
"spotify:track:0C71NJD4BhvPopTwI7a8KV","Seven Years","Saosin","Translating The Name","1","1","192786","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:33Z"
"spotify:track:4pBfU4RSvH0NzjEr2OgjWn","Understanding in a Car Crash","Thursday","Full Collapse","1","2","264546","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:35Z"
"spotify:track:5dTHtzHFPyi8TlTtzoz1J9","Helena","My Chemical Romance","Three Cheers for Sweet Revenge","1","1","204733","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:36Z"
"spotify:track:47IWLfIKOKhFnz1FUEUIkE","A Boy Brushed Red Living In Black And White","Underoath","They're Only Chasing Safety","1","2","268000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:38Z"
"spotify:track:429IbFR4yp2J81CeTwF5iY","Sweetness","Jimmy Eat World","Bleed American","1","5","220026","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:39Z"
"spotify:track:23oxJmDc1V9uLUSmN2LIvx","Ocean Avenue","Yellowcard","Ocean Avenue","1","3","198266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:40Z"
"spotify:track:4OsLDuaH0bWR6xM6nj66F8","F.C.P.R.E.M.I.X.","The Fall of Troy","Doppelganger","1","3","237680","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:43Z"
"spotify:track:44oenYNFrmOCz85bAcwN5t","In Keeping Secrets of Silent Earth: 3","Coheed and Cambria","In Keeping Secrets Of Silent Earth: 3","1","2","492306","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:44Z"
"spotify:track:6fx1fKIs5e0pBL5FpdC7RB","MakeDamnSure","Taking Back Sunday","Louder Now (Deluxe Edition)","1","3","208280","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:46Z"
"spotify:track:0lP4HYLmvowOKdsQ7CVkuq","The Kill","Thirty Seconds To Mars","A Beautiful Lie","1","3","231533","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:47Z"
"spotify:track:0DKNNR9iDjwfCEpMiFXMJq","Until the Day I Die","Story Of The Year","Page Avenue (US Non-PA Version)","1","2","235200","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:49Z"
"spotify:track:0arNrzPygksLY2pEbRgBjw","The Artist In The Ambulance","Thrice","The Artist In The Ambulance","1","10","219266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:51Z"
"spotify:track:1Up4RdOBpChNDytatxKDXP","The Best Of Me","The Starting Line","Say It Like You Mean It","1","4","258266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:52Z"
"spotify:track:6yVSp9H2STyLeOs7pjy2w4","Hands Down","Dashboard Confessional","A Mark, A Mission, A Brand, A Scar","1","1","186827","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:38:53Z"
