﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4qCQh7NCxDzeSivKQO0aHB","Out Of The Blue - Album - Remastered","Miles Davis","Dig [Original Jazz Classics Remasters] (OJC Remaster)","1","5","379413","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:07:50Z"
"spotify:track:4vLYewWIvqHfKtJDk8c8tq","So What","Miles Davis","Kind Of Blue (Legacy Edition)","1","1","562640","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:07:59Z"
"spotify:track:5FYgwqjjq9kPCMj8yArfTr","My Funny Valentine - Rudy Van Gelder Remaster","Miles Davis Quintet","Cookin' With The Miles Davis Quintet","1","1","358200","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:00Z"
"spotify:track:4Tq2fWpX1nLCkMSOPkYb1Y","Moanin'","Art Blakey & The Jazz Messengers","The Best Of Art Blakey","1","1","576173","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:02Z"
"spotify:track:47vmcuvMWFIsMaiHFIGSIu","Giant Steps","John Coltrane","Giant Steps (Deluxe Edition)","1","1","283439","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:04Z"
"spotify:track:4aGwaTnpdI90cHPfgKV6jw","Blue Haze","Miles Davis Quartet","Blue Haze","1","5","369760","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:07Z"
"spotify:track:6B0aELa2yqLyeu2ULt8bEq","Changes","Miles Davis And Milt Jackson Quintet","Miles Davis And Milt Jackson Quintet/Sextet","1","4","430693","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:09Z"
"spotify:track:23aDP04QX8MAHA99FLaPtN","Lonely Woman","Ornette Coleman","The Shape Of Jazz To Come","1","1","299506","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:10Z"
"spotify:track:1YQWosTIljIvxAgHWTp7KP","Take Five","The Dave Brubeck Quartet","Time Out","1","3","324133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:12Z"
"spotify:track:0X5DcGkbxCXSadgj01ZXd7","Autumn Leaves","Cannonball Adderley","Somethin' Else (Rudy Van Gelder Edition)","1","1","659520","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:13Z"
"spotify:track:3PJMsxg6rz9FOo6xNiASXz","Goodbye Pork Pie Hat","Charles Mingus","Ah Um","1","2","342373","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:15Z"
"spotify:track:3xI5JP5RiJXO5JLABviLzv","Woody'n You - Alternate Take","Miles Davis Sextet","Miles Davis (Vol. 1)","1","12","202250","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:17Z"
"spotify:track:4IqzVeWfWLPQ2deCYYWeXL","Bitches Brew","Miles Davis","Bitches Brew (Legacy Edition)","1","2","1618693","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:19Z"
"spotify:track:0x3VS084OocWXmOs6nPYGC","If I Were A Bell - Rudy Van Gelder Remaster","Miles Davis Quintet","Relaxin' With The Miles Davis Quintet","1","1","493160","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:21Z"
"spotify:track:35hrtW3WmLUVn32cOjFa6f","Billie's Bounce - Original","Charlie Parker","Charlie Parker Memorial, Vol. 2","1","18","192186","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:23Z"
"spotify:track:2JOEPbuwVf0nafGnMSVEhH","My Favorite Things","John Coltrane","My Favorite Things (Deluxe Edition)","1","1","824133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:25Z"
"spotify:track:4WyVRn3L2uXnSUkY762gqN","Sly","Herbie Hancock","Head Hunters","1","3","615360","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:27Z"
"spotify:track:2O7Chlw00Of1FD6h0KRfc0","I Know","Sonny Rollins","Sonny Rollins With The Modern Jazz Quartet","1","13","152106","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:29Z"
"spotify:track:0gCrMfZvXZa9JSA54lOhMU","Nutty - Live","Thelonious Monk Quartet","Miles and Monk at Newport (Live)","1","5","836693","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:31Z"
"spotify:track:0qxiaagtTvTeNvzxHHc441","Speak No Evil - Remastered 1998 / Rudy Van Gelder Edition","Wayne Shorter","Speak No Evil","1","4","503786","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:33Z"
"spotify:track:4nrQ0ohqu5sXqMg2p4YzkE","Come Rain Or Come Shine","Art Blakey & The Jazz Messengers","Moanin' (The Rudy Van Gelder Edition)","1","7","345173","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:36Z"
"spotify:track:2BZFhZGjjZD2PLp8yUCaGr","Bouncin' With Bud","Bud Powell","The Best Of Bud Powell","1","1","184000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:38Z"
"spotify:track:5PHNev6toiQRao7OnfFXMp","Birdland","Weather Report","Heavy Weather (Expanded Edition)","1","1","359440","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:39Z"
"spotify:track:5klynmZw7TdqVsGvaxQH57","Song For My Father","Horace Silver","The Best Of Horace Silver","1","1","437960","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:42Z"
"spotify:track:0cvA7oe0YMEOl5L017P9lq","Now's The Time","Charlie Parker Quartet","Now's The Time","1","12","181706","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:44Z"
"spotify:track:7Feqt9ODEKq23ZG4PVmxLX","Now's The Time - Original Take 4","Charlie Parker","The Charlie Parker Story","1","10","198866","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:46Z"
"spotify:track:5RrJCusmR1J54b5ivqdWIu","Spain","Chick Corea, Return To Forever","Light As A Feather","1","6","590866","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:49Z"
"spotify:track:0T1EaGm6b9eM7xBf4F1hlc","Maiden Voyage - Remastered 1999/Rudy Van Gelder Edition","Herbie Hancock","Maiden Voyage","1","1","477093","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:51Z"
"spotify:track:5xoQDcAjk0AaOU8QBZ4w4w","Strode Rode - Rudy Van Gelder Remaster","Sonny Rollins, Tommy Flanagan, Doug Watkins, Max Roach","Saxophone Colossus","1","3","314573","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:53Z"
"spotify:track:5KQ6uddno2Hht84gJDHsPF","A Night In Tunisia - Remastered","Dexter Gordon","Our Man In Paris (Rudy Van Gelder Edition)","1","5","495373","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:55Z"
"spotify:track:4ISR8jbfn5x4deKzPflL6B","Witch Hunt","Wayne Shorter","Jazz Profile: Wayne Shorter","1","3","490600","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:57Z"
"spotify:track:7K5NiBQk7QJ0qehZ4e6LmB","Track B- Duete Solo Dancers","Charles Mingus","The Black Saint And The Sinner Lady","1","2","405266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:08:59Z"
"spotify:track:0488kXJ1YnLMrrM1ssJnev","Monk's Dream - Take 8","Thelonious Monk","Monk's Dream","1","1","385466","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:00Z"
"spotify:track:58yFroDNbzHpYzvicaC0de","Peace Piece","Bill Evans","Everybody Digs Bill Evans","1","6","404160","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:03Z"
"spotify:track:0FAJq1Ea0BPWRPzKcWs2yN","Ascenseur pour l'échafaud / Night Road","Greg Szlapczynski, Yvinek","Road Movie(s) [Bonus Track Version]","1","10","242373","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:04Z"
"spotify:track:2x91iJc0UkFcjRMEZ2CoWB","Freddie Freeloader","Miles Davis","Kind Of Blue (Legacy Edition)","1","2","586400","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:38Z"
"spotify:track:6ZgaUtMlUzUf7SqbUUnfbu","Blue Train - Remastered 2003","John Coltrane","Blue Train (Rudy Van Gelder Edition)","1","1","644013","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:40Z"
"spotify:track:29erJjtgdbh1KbG7MuPJCj","Confirmation - Take 3 / Master","Charlie Parker Quartet","Now's The Time","1","13","178866","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:41Z"
"spotify:track:0sCeNwt8xRCMR4NhKpMyBe","Cantaloupe Island - Remastered 1999/Rudy Van Gelder Edition","Herbie Hancock","Empyrean Isles","1","3","333946","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:43Z"
"spotify:track:77b1v5Vohuobvvu61VrhKR","The Sidewinder","Lee Morgan","The Best Of Lee Morgan","1","2","626666","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:44Z"
"spotify:track:2JITVZu8o6ls9k8SoMRy7w","Footprints - Remastered","Wayne Shorter","Adam's Apple (Rudy Van Gelder Edition)","1","4","449773","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:09:46Z"
