﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6TNpx8iXqoK8Db0VnYo552","Paradise","The Temptations","Meet The Temptations","1","4","172000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:27Z"
"spotify:track:745H5CctFr12Mo7cqa1BMH","My Girl","The Temptations","The Temptations Sing Smokey","1","3","165000","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:35Z"
"spotify:track:5uES1C2NgkdrNHiCwf9jRr","Baby Love","The Supremes","Where Did Our Love Go","1","3","158040","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:36Z"
"spotify:track:37j56IWzpplKE5zrlQRmxc","I Heard It Through The Grapevine","Marvin Gaye","Every Great Motown Hit Of Marvin Gaye","1","8","196706","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:38Z"
"spotify:track:6jX5mso4x00c1EiNMrTU9U","Please Mr. Postman - Single Version","The Marvelettes","Please Mr. Postman","1","3","148040","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:40Z"
"spotify:track:2eF8pWbiivYsYRpbntYsnc","Signed, Sealed, Delivered (I'm Yours)","Stevie Wonder","Signed, Sealed And Delivered","1","3","161160","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:42Z"
"spotify:track:5c33j1xFVOL4G24zxYhssB","This Old Heart Of Mine (Is Weak For You)","The Isley Brothers","This Old Heart Of Mine","1","3","172733","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:44Z"
"spotify:track:4591VqUIXysNlmI5NcAIUd","My Guy","Mary Wells","Mary Wells Sings My Guy","1","3","174440","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:45Z"
"spotify:track:6Hd8mrDwBQ8rLo70FwFG5C","I Second That Emotion","Smokey Robinson & The Miracles","The 35th Anniversary Collection","3","10","161226","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:47Z"
"spotify:track:3zBhihYUHBmGd2bcQIobrF","(Sittin' On) The Dock of the Bay - Mono","Otis Redding","The Dock Of The Bay (Mono)","1","1","163755","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:49Z"
"spotify:track:6wDviYDtmSDZ0S6TVMM9Vc","ABC","The Jackson 5","ABC","1","3","177733","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:51Z"
"spotify:track:4ZEEcEMGjkWOfZNBcIB9yE","War","Edwin Starr","War And Peace","1","1","200266","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:56Z"
"spotify:track:7tqhbajSfrz2F7E1Z75ASX","Ain't No Mountain High Enough","Marvin Gaye, Tammi Terrell","United","1","1","151666","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:55:59Z"
"spotify:track:7s25THrKz86DM225dOYwnr","Respect","Aretha Franklin","I Never Loved a Man the Way I Love You","1","1","147600","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:01Z"
"spotify:track:4kP69y3GKHi9tXckfgp4bK","For Once In My Life","Stevie Wonder","For Once In My Life","1","1","169800","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:03Z"
"spotify:track:4Fo0h4xBntg9L4YNAMXQEH","If I Were Your Woman - Single Version","Gladys Knight & The Pips","Love Songs","1","5","190653","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:05Z"
"spotify:track:7N3UAu6FkwdBg9J7OONBBP","Jimmy Mack","Martha Reeves & The Vandellas","Watchout!","1","3","163733","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:07Z"
"spotify:track:7ifcJ5DDytGf8aITxmgsLN","You've Really Got A Hold On Me - Alternate Stereo Mix","Smokey Robinson & The Miracles","OOO Baby Baby: The Anthlogy","1","12","192133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:09Z"
"spotify:track:47IRIQxGDe2Sc6F4pe2FMf","Shop Around","The Miracles","Hi We're The Miracles","1","4","170760","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:11Z"
"spotify:track:63xdwScd1Ai1GigAwQxE8y","Let's Stay Together","Al Green","Let's Stay Together","1","1","199396","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:13Z"
"spotify:track:4Sz8zFchpHQVQVqVyGz5Jb","You Beat Me To The Punch - Stereo Version","Mary Wells","The One Who Really Loves You","1","3","165333","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:16Z"
"spotify:track:36AlMHDBFwSsD3FQOy1R81","Try a Little Tenderness","Otis Redding","The Dictionary Of Soul","1","5","201733","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:18Z"
"spotify:track:5RdhBLmB4DyFHLglRrfx63","I'll Be There","The Jackson 5","Third Album","1","1","237760","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:20Z"
"spotify:track:1JQ6Xm1JrvHfvAqhl5pwaA","Easy","Commodores","Commodores","1","9","256426","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:22Z"
"spotify:track:7Fnw86Fun6yjOhDIYKjKg2","Shotgun - Extended Stereo Mix 2005","Jr. Walker & The All Stars","The Definitive Collection","1","1","198586","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:25Z"
"spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca","Super Freak","Rick James","Street Songs","1","5","205466","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:27Z"
"spotify:track:0KOE1hat4SIer491XKk4Pa","A Change Is Gonna Come","Sam Cooke","Ain't That Good News","1","7","191160","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:30Z"
"spotify:track:3VgrSJEKBRT3xmwzpaxxEF","(Love Is Like A) Heat Wave","Martha Reeves & The Vandellas","Heat Wave","1","1","163053","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:56:32Z"
"spotify:track:52FlwUMMDnTK8TGkCag9Jd","Stop! In The Name Of Love - Single Version","The Supremes","More Hits By The Supremes","1","4","172906","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:57:24Z"
"spotify:track:4CoGNqLap7UGU5Q3VdKug0","Ain't Too Proud To Beg","The Temptations","Gettin' Ready","1","3","156173","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:57:27Z"
"spotify:track:4Dq749x2QP6OXTURJ9GGY8","The Tears Of A Clown","Smokey Robinson & The Miracles","Make It Happen","1","12","181800","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:57:29Z"
"spotify:track:4RNHbYuRaZesMODlihhsUG","What's Going On","Marvin Gaye","What's Going On","1","1","236466","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:57:31Z"
"spotify:track:26fSgIa539TCK3KV76chHU","Needle In A Haystack","The Velvelettes","The Very Best Of The Velvelettes","1","11","149866","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:57:33Z"
"spotify:track:6VzM9C7CXyn1BQdgTJVqDx","Shotgun","Jr. Walker & The All Stars","Shotgun","1","3","176626","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T06:57:34Z"
