﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3oQJA4f7NzcudBpcOwqhHE","Stay","B.O.","Stay","1","1","213062","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:25Z"
"spotify:track:1pz24zu5H9A0S1a2NKT4F0","SoulMate (feat. IU)","Zico, IU","SoulMate (feat. IU)","1","1","219390","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:40Z"
"spotify:track:6z1kLsntE7FuzKZHZWrXYN","instagram","DEAN","instagram","1","1","255728","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:42Z"
"spotify:track:61nHajLq0uUI8khXsfxvQI","be by my side","Crush","be by my side","1","1","213320","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:43Z"
"spotify:track:0nClwn3MZbYCqOcjK7nYdi","Sunday In My Bedroom (Remix)","B.O.","COMFORT","1","4","221624","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:45Z"
"spotify:track:0PkpRtJqrwuXhbdtJuQm7E","Photograph","offonoff","boy.","1","6","239002","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:47Z"
"spotify:track:12AZFn9F5h9tlxMEbdZEwm","247 (Feat. Zion.T, Crush, DEAN)","Junggigo","ACROSS THE UNIVERSE","1","4","217818","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:49Z"
"spotify:track:6oTdsBJmsEzK55Xzl8QYxn","bad habit","G.Soul","bad habit","1","1","180560","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:51Z"
"spotify:track:3eHkFA3StDR9BU7EVrUFLs","WINE (Feat.Changmo) (Prod. SUGA)","SURAN","WINE","1","1","232194","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:02:57Z"
"spotify:track:2IgbYlOlFpiSFYnsqB39lM","Jasmine","DPR LIVE","Jasmine","1","1","201510","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:00Z"
"spotify:track:0q3xk0VI0w7omVXYA09sVw","Eat","Zion.T","Eat","1","1","161617","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:02Z"
"spotify:track:5K209mgnrnMPLNIluT9m77","Still (Feat. Crush)","Loco","BLEACHED","1","9","276440","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:07Z"
"spotify:track:4UeBknW6SpdoPumvc5r54O","HANGANG","Hoody","HANGANG","1","1","200488","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:10Z"
"spotify:track:2AA1f7utyvXpmtKsEvp5lz","dayfly","DEAN, Sulli, Rad Museum","dayfly","1","1","207112","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:12Z"
"spotify:track:1iArAuiiDPjtZcwO33YeLF","Too Much (Feat. DEAN)","Loco","BLEACHED","1","6","190957","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:26Z"
"spotify:track:0EYOhg4jMf7hCLeQIxlvKL","gold (Feat. Dean)","offonoff, Dean","boy.","1","3","236053","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:36Z"
"spotify:track:3uA8SjMyDtwtt0jLPMQbVD","D (Half Moon)","DEAN, Gaeko","130 Mood : TRBL","1","5","229359","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:39Z"
"spotify:track:3PWyoYwI4iHLnLWltMt4gd","No Make Up","Zion.T","No Make Up","1","1","189154","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:40Z"
"spotify:track:0JJeoiCAa1hwcBsPxBN2w4","Sunday (feat. HEIZE, Jay Park)","GroovyRoom","EVERYWHERE","1","2","182300","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:42Z"
"spotify:track:1ihIXI2MVklmJdPvIUxExZ","party (Shut Down) [feat. Crush]","Sik-K, Crush","H.A.L.F (Have.A.Little.Fun)","1","2","216113","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:44Z"
"spotify:track:1dN4Z7wZTQXLEl33RkMO3a","Text Me","DPR LIVE","Her","1","3","177342","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:45Z"
"spotify:track:75ai0ibymmqyCyaxwZuhnu","I Am You, You Are Me","Zico","Break Up 2 Make Up","1","1","213251","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:47Z"
"spotify:track:5HIKTopIsEr4NZM99yytdo","heyahe","ONE","ONE DAY","1","2","185917","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:49Z"
"spotify:track:1qz2bFE5ZtwZSd6DNed2RJ","Shut Up & Groove (feat. DEAN) [From And July]","HEIZE, Dean","Shut Up & Groove (feat. DEAN) [From And July]","1","1","199281","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:52Z"
"spotify:track:23Sp4OKoHAmPehmCFsmWdX","Your Eyes (feat. Jay Park)","Hoody, Jay Park","On And On","1","2","204541","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:54Z"
"spotify:track:3y7ByLZ05tluscOTRgEJ9Y","Palette (Feat. G-DRAGON)","IU","Palette","1","2","217412","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:56Z"
"spotify:track:22tAOnXPrSFOp2En3WcyyA","bath","offonoff","bath","1","1","261705","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:57Z"
"spotify:track:7LN1f9jAIu7yxBzsLMN7RB","Come Over","DEAN, Yerin Baek","Limbo","1","2","266137","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:03:59Z"
"spotify:track:6BcOOZoCGPaUuEPGNqGQx2","Yanghwa BRDG","Zion.T","Yanghwa BRDG","1","1","229349","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:01Z"
"spotify:track:3e0VhBdgJLUhI1ErcrY64B","Think About' Chu","Sam Kim, Loco","Boys And Girls Music, Vol. 1","1","1","239837","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:03Z"
"spotify:track:28rrN7Ld05dEpnzfbveu0A","fall","Crush","wonderlust","1","4","231571","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:04Z"
"spotify:track:4Z2mXXSzuCDEHZtFGmy0X5","Rendezvous","Sik-K","FLIP","1","3","185893","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:06Z"
"spotify:track:7cwu0oTrhXX6JG1kcIZo0M","She’s a Baby","Zico","She’s a Baby","1","1","164980","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:08Z"
"spotify:track:5NnNl71fwVkuB1M45CXvdb","Wi Ing Wi Ing 위잉위잉","HYUKOH","20","1","4","194866","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:09Z"
"spotify:track:0Yz3F0UGDibDe8uU69zmjn","And July (feat. DEAN & DJ Friz)","HEIZE, Dean, DJ Friz","And July","1","1","226128","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:11Z"
"spotify:track:7kSgqkkLTnAkE8UnnZg9MI","Comfortable","G2, GRAY, Simon Dominic","G2's Life","1","14","252031","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:13Z"
"spotify:track:7jwEER43W8bYYsKUdl39Aa","L.I.E - Prod. ZICO","PENOMECO","L.I.E (Prod. ZICO)","1","1","206038","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:15Z"
"spotify:track:5NglxmxSK6BKlV0A1G5NBf","PARADISE","millic, Fanxy Child","VIDA","1","8","299095","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:17Z"
"spotify:track:7EOGIqRUHjsnDFoerUgBWY","Cheese & Wine","DPR LIVE","Coming To You Live","1","1","193974","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:19Z"
"spotify:track:3IRR7SWdHVojpCWfnwM2Vs","1+1=0 (Feat. DEAN)","SURAN","Walkin'","1","2","192066","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:20Z"
"spotify:track:2oUallb0gAqnNnfGbM4qvT","X (Feat. Lee Hi)","Code Kunst, LEE HI","MUGGLES' MANSION","1","10","311677","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:23Z"
"spotify:track:68vMDFui7uTbw9OQcyB0gD","V","Jay Park","V","1","2","227040","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:25Z"
"spotify:track:19vA9vjtcyFNDrGixsYozl","Bawling","Primary, OHHYUK","Lucky You!","1","2","243175","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:27Z"
"spotify:track:1kQcX6cLpC57HQqqSRrHi4","Ring Ring (feat. Gaeko)","Sik-K, Gaeko","H.A.L.F (Have.A.Little.Fun)","1","1","206613","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:55Z"
"spotify:track:7zDu3l7DDlfSlt20YMKkWo","Martini Blue","DPR LIVE","Her","1","5","195204","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:56Z"
"spotify:track:4sa8O4AwMja6r1Enu35Fmz","Oasis","Crush, Zico","Oasis","1","2","191278","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:58Z"
"spotify:track:14p5EKgbPx4U3P1j5JNHeh","Cigarette (Feat. Tablo, MISO)","offonoff, Tablo, MISO","boy.","1","2","241765","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:04:59Z"
"spotify:track:6WX68Y7z07oQlz3VolcGXP","DA DA DA (Feat. Hoody)","Loco","BLEACHED","1","8","212200","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:05:01Z"
"spotify:track:1Zv6zo71iDXH07Lin7hxMg","Don't know you","HEIZE","/// (너 먹구름 비)","1","1","189410","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:05:03Z"
"spotify:track:74tqql9zP6JjF5hjkHHUXp","Like You","Hoody","On And On","1","7","212715","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:05:04Z"
