﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3PgmQl12KXQofJDeBROKcU","Waiting for You","Rexx Life Raj, Russ","Waiting for You","1","1","211470","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:06Z"
"spotify:track:0Auplhfipte5DMPW9EvzcU","Take It All in (feat. Rexx Life Raj)","Russ, Rexx Life Raj","Take It All In (feat. Rexx Life Raj)","1","1","184685","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:22Z"
"spotify:track:152lZdxL1OR0ZMW6KquMif","Location","Khalid","American Teen","1","3","219080","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:23Z"
"spotify:track:3mogmakkKiKWOB0tVj1X9i","Foreplay","Jalen Santoy","Charlie Eastern","1","2","171370","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:25Z"
"spotify:track:4AtZRwSR8BOTTQg5ihSggt","PRBLMS","6LACK","FREE 6LACK","1","3","246773","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:27Z"
"spotify:track:7zFXmv6vqI4qOt4yGf3jYZ","Get You (feat. Kali Uchis)","Daniel Caesar, Kali Uchis","Freudian","1","1","278179","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:29Z"
"spotify:track:6PGoSes0D9eUDeeAafB2As","LOVE. FEAT. ZACARI.","Kendrick Lamar, Zacari","DAMN.","1","10","213400","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:30Z"
"spotify:track:1wZqJM5FGDEl3FjHDxDyQd","Come and See Me (feat. Drake)","PARTYNEXTDOOR, Drake","PARTYNEXTDOOR 3 (P3)","1","15","235477","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:32Z"
"spotify:track:6kP92fKzIyVJtNobCRsZ6G","Right Here","Dave B.","Tomorrow","1","11","204534","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:34Z"
"spotify:track:1x1BKrrpq7CfOZPBeUsx16","Grey Luh","Berhana","Berhana","1","6","261102","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:35Z"
"spotify:track:5yuShbu70mtHXY0yLzCQLQ","Go Flex","Post Malone","Stoney (Deluxe)","1","9","179613","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:37Z"
"spotify:track:0q75NwOoFiARAVp4EXU4Bs","Love Galore (feat. Travis Scott)","SZA, Travis Scott","Ctrl","1","2","275080","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:39Z"
"spotify:track:4cxMGhkinTocPSVVKWIw0d","Losin Control","Russ","There's Really A Wolf","1","14","237506","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:40Z"
"spotify:track:677ai1ZuIvkr13W5vSR9wn","Handheld GPS","Rexx Life Raj","Father Figure","1","7","133198","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:42Z"
"spotify:track:3eze1OsZ1rqeXkKStNfTmi","Juke Jam (feat. Justin Bieber & Towkio)","Chance the Rapper, Justin Bieber, Towkio","Coloring Book","1","9","219683","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:43Z"
"spotify:track:7m9OqQk4RVRkw9JJdeAw96","Jocelyn Flores","XXXTENTACION","17","1","2","119133","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:45Z"
"spotify:track:5hrT5sukNbTb6xKPyYdo0I","Reasons","Khalid","Reasons","1","1","232024","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:47Z"
"spotify:track:3pXF1nA74528Edde4of9CC","Don't","Bryson Tiller","T R A P S O U L","1","5","198293","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:48Z"
"spotify:track:0PXp9QxBfSKGGpWUNaws2X","Drama (feat. Drake)","Roy Woods, Drake","Exis","1","5","251859","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:50Z"
"spotify:track:5tsI3xxDHDgzHhn30LTQNz","These Days","Mike Stud","This Isn't The Album","1","3","268565","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:52Z"
"spotify:track:2p4p9YGwmJIdf5IA9sSWhm","STFU","mansionz, Spark Master Tape","Mansionz","1","3","230878","spotify:user:w1ng7yyk1jrq73rojqcwsth3s","2019-06-01T07:11:53Z"
