﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6WFV9HowZft8fw5eg9IpPA","I Love You, Honeybear","Father John Misty","I Love You, Honeybear","1","1","278920","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4RW43AqI7w9uUNp6Na8w6t","Walk Along Cattle Drives","Jesse Woods","Get Your Burdens Lifted","1","1","180804","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:67RsospOzgNvomehdhilq1","Micheline","Sun Kil Moon","Benji","1","10","366866","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:071Ot97VZzdwYkiyD12QQK","A Bigger Paper Bag","Father John Misty","Pure Comedy","1","7","281761","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1gsfvFdD7ddv5DeBdboVTd","Strange Encounter","Father John Misty","I Love You, Honeybear","1","7","259519","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4oyrDChQhPh8C4Uys2MWl7","That's Life, tho (almost hate to say)","Kurt Vile","b'lieve i'm goin down...","1","4","386973","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7n7Ova6YQc6HEfF2KM4Hov","Nothing Good Ever Happens At The Goddamn Thirsty Crow","Father John Misty","I Love You, Honeybear","1","6","274453","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0OqvfYnArSgEJZkkGXt4av","Get The Point","My Morning Jacket","The Waterfall","1","5","181370","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0aQPLMsw8L9S4VQ3Mzhap6","These Days","Dr. Dog","Live at a Flamingo Hotel","1","1","191026","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4OrhuoNptQWMIkIhKRIn30","O I Long to Feel Your Arms Around Me","Father John Misty","Fear Fun","1","5","143240","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1CgkhUFFcMwlAXVo8QdvBD","Cathedral in the Dell","Andrew Bird","Things Are Really Great Here, Sort Of...","1","1","239202","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4suro37tLa677NBVKNPVHN","The Way You’d Love Her","Mac DeMarco","Another One","1","1","156430","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7K8ztY6ORNUpzVNxEyuZ94","Immediately Alone","Hamilton Leithauser, Paul Maroon","I Could Have Sworn","1","4","224998","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4knp5gWp9KyIkBBI4BowmR","When the God of Love Returns There'll Be Hell to Pay","Father John Misty","Pure Comedy","1","8","244491","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5kvxVswizuJEGWfDyq4m6A","Magnetized","Wilco","Star Wars","1","11","220026","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2JWSJruU0fLaNN3fqrLGwV","The Singer Addresses His Audience","The Decemberists","What A Terrible World, What A Beautiful World","1","1","282986","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0xn4c3XG4LdWFev4B37Plt","Cindy, Diana, Janet and Wanda","Chris Staples","Cheap Shades EP","1","4","209536","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4q8Kr4ZNZ3TEnUc7efI718","Cry To Laugh","Blake Mills","Heigh Ho","1","2","166493","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7nguw3JCObYNBh72bpWSCj","Everyman Needs A Companion","Father John Misty","Fear Fun","1","12","319826","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6hBJRJcFXEcBjXGeTLYOOZ","[More Rain]","M. Ward","More Rain","1","1","61440","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7CUTFYk5J63zth68MJ8Pil","Bored in the USA","Father John Misty","I Love You, Honeybear","1","9","262000","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5xj2fvJf9cZ59iOnkcsqCk","Like A River","My Morning Jacket","The Waterfall","1","3","290418","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1YxdJy5PMJgmsNUOAoOppd","Southwestern Territory","The Mountain Goats","Beat The Champ","1","1","254053","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4kM5lBwpG1DEH9FNTsOyGP","Pure Comedy","Father John Misty","Pure Comedy","1","1","383800","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7Loca4MNKlOad97YWMF1m3","White Wine and Fried Chicken","Hot Chip","Why Make Sense? (Definitive Version)","1","5","180240","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:30iJ65cgv0xm9mnLt8yhsu","So I'm Growing Old on Magic Mountain","Father John Misty","Pure Comedy","1","12","598268","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4RvBdiOjviGJ6Qe5r0aK1M","I Know","Dr. Dog","Abandoned Mansion","1","9","254980","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:522xCpCuNAq8Bk2oYYX1Dj","Refuge","The Antlers","Familiars","1","9","296026","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18y3XgYPJJqMJVSm0tMgRa","Holy Shit","Father John Misty","I Love You, Honeybear","1","10","241333","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4vGQMAUuXCdonFFYg3SmbW","Stage or Screen","Unknown Mortal Orchestra","Multi-Love","1","7","204306","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0BlobfOvimTlY5wtRgbm06","Funtimes In Babylon","Father John Misty","Fear Fun","1","1","219893","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3XlbuVnVar68J7hFbluERd","I Can’t Wait - Bonus Track","My Morning Jacket","The Waterfall (Deluxe)","2","3","211160","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2PXQ411yIYDknzigK5Trt5","I Went to the Store One Day","Father John Misty","I Love You, Honeybear","1","11","265680","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Aas2QVdsYHVhxSpRxXFk8","Normal American Kids","Wilco","Schmilco","1","1","167333","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2SKvu2bhSrvK46N7VW91yh","Smoochie","Father John Misty","Pure Comedy","1","9","225627","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2h1nrf9WTnEnUXDdyFswii","Paul's Song - Instrumental","M. Ward","Transistor Radio (Deluxe Version)","1","20","199253","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5qR1SqsR0qannHqqpRoiwl","Lake Song","The Decemberists","What A Terrible World, What A Beautiful World","1","5","352453","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2YjzXuobwou8THQBILEa0i","Gold Coast Sinkin'","Blake Mills","Heigh Ho","1","6","273586","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6a51esx9G75hAQ7TCLzJTI","The Ideal Husband","Father John Misty","I Love You, Honeybear","1","8","215226","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5ZPr9r3awiXgXcRZPfR0rr","Shadow People","Dr. Dog","Live at a Flamingo Hotel","1","16","293944","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4KmylOc7EVRfTfy6OImJPX","Chateau Lobby #4 (in C for Two Virgins)","Father John Misty","I Love You, Honeybear","1","2","170840","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Yfb9IAwFC0r3PPOdpcA8o","I","Anna B Savage","EP","1","1","250821","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2pLrESCcvzyTkLBruZWceb","Believe (Nobody Knows)","My Morning Jacket","The Waterfall","1","1","294656","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:01RWOIuH2Ymn5HZ67tIt1L","The Memo","Father John Misty","Pure Comedy","1","11","316584","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4sHbjW3Dx2wyAZiO5Jz7Nz","Bullet Proof Soul","Iron & Wine, Ben Bridwell","Sing Into My Mouth","1","5","278953","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0aXB55kZU3wnDMywft6EBs","Baby Britain","Seth Avett & Jessica Lea Mayfield","Seth Avett & Jessica Lea Mayfield Sing Elliott Smith","1","2","198960","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Xg2iQGIZuqV0vjzisyzq0","The Night Josh Tillman Came To Our Apt.","Father John Misty","I Love You, Honeybear","1","4","216173","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6ViV4Gt8n3G1g22lnsX3Gu","Drive","Father John Misty","Hollywood Forever Cemetery Sing / Drive","1","2","263452","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0Dn9lj5PCHmippXUg4LMz4","Summer Of Love","Waxahatchee","Ivy Tripp","1","11","140760","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4XnE1w7r15NzRlcw4URLZ8","When You're Smiling and Astride Me","Father John Misty","I Love You, Honeybear","1","5","274053","spotify:user:","1970-01-01T00:00:00Z"
